Read_ID	Read_Length	Aligned_contig	Align_Length	Identity	match	mismatch	insertions	deletions	softclip	hardclip	intron_skip
57eedd70-af63-4b76-be9a-2c65b8ac808e	676	chr22	625	0.9657853810264385	621	2	18	2	35	0	0
eddb56c0-0590-4c0e-a1b9-33e422fb6381	623	chr22	558	0.9857142857142858	552	2	2	4	67	0	0
e0ea4964-af83-4fe5-b849-fedb249824a5	848	chr22	796	0.9644171779141104	786	3	19	7	40	0	0
03e02318-e4de-41b6-9d77-50a66c85095b	149	chr22	122	0.9349593495934959	115	5	1	2	28	0	0
84864599-048b-4c37-aa54-f2c35336cb6c	1040	chr22	1042	0.9913875598086125	1036	1	3	5	0	0	0
e49f648f-71a6-43c7-84ec-095e532ecb67	879	chr22	833	0.9513888888888888	822	1	31	10	25	0	0
791297af-4490-4a08-ba3e-00fa836a576c	936	chr22	947	0.9852164730728616	933	3	0	11	0	0	0
baef9500-cb4e-4b9b-bbaa-854688e3a9c7	4650	chr22	4638	0.985398325101997	4589	16	19	33	26	0	0
9dbf775e-3c88-4c4a-a715-0b9b6b9f600e	590	chr22	580	0.976068376068376	571	1	5	8	13	0	0
bf58fe7f-aaa8-41dd-8eb6-b7e4117c1a01	278	chr22	276	0.9420289855072463	260	16	0	0	2	0	0
5b7c595d-7c9e-454f-b7c6-ea5c561410a6	339	chr22	315	0.9968253968253968	314	1	0	0	24	0	0
7559bd1a-cbed-45df-b01e-c05d63753f95	74	chr22	74	0.9459459459459459	70	1	0	3	3	0	0
996dcf3f-3542-447a-b208-d5978cb74389	561	chr22	543	0.9509090909090909	523	19	7	1	12	0	0
475bb125-294a-40ee-92d2-c6128a65a811	1675	chr22	1234	0.9847020933977456	1223	6	8	5	438	0	0
538d12bd-b5b5-4d4a-98ab-66345f7d60d9	304	chr22	300	0.9064516129032258	281	3	10	16	10	0	0
5a85c3a4-c99b-4fe7-8ada-3b16663eedc7	303	chr22	288	1.0	288	0	0	0	15	0	0
65f7b5d2-b791-48ef-bec6-7679bbeb0b26	148	chr22	143	0.9930555555555556	143	0	1	0	4	0	0
e296beaa-03e9-4096-899c-f663dcdc1891	1980	chr22	1966	0.9954291518537328	1960	0	3	6	17	0	0
fbbf7053-d065-417e-9743-df2b80de7877	92	chr22	70	0.9859154929577465	70	0	1	0	21	0	0
